"Home","Forsíða"
"Contests","Keppnir"
"Problems","Dæmi"
"Logout","Skrá út"
"Login","Skrá inn"
"User Register","Nýskrá"
"Username","Notandanafn"
"Password","Lykilorð"
"Email","Netfang"
"Full name","Fullt nafn"
"Institute (school)","Stofnun (skóli)"
"Password (confirm)","Lykilorð (staðfesta)"
"Problem","Dæmi"
"Solved","Leyst"
"Name","Nafn"
"Contest Starts","Byrjar"
"Contest Started","Byrjaði"
"Duration","Lengd"
"Upcoming contests","Næstu keppnir"
"Current contests","Keppnir í gangi"
"Past contests","Fyrri keppnir"
"Registration","Skráning"
"Closed","Lokuð"
"Contest Register","Skrá"
"Not open yet","Ekki hafin"
"Opens","Opnar"
"1 second ago","fyrir einni sekúndu","singular"
"%(seconds)d seconds ago","fyrir %(seconds)d sekúndum","plural"
"1 minute ago","fyrir einni mínútu","singular"
"%(minutes)d minutes ago","fyrir %(minutes)d mínútum","plural"
"1 hour ago","fyrir einum klukkutíma","singular"
"%(hours)d hours ago","fyrir %(hours)d klukkutímum","plural"
"%(time)s","kl. %(time)s"
"yesterday","í gær"
"yesterday at %(time)s","í gær kl. %(time)s"
"%(weekday)s","á %(weekday)s"
"%(weekday)s at %(time)s","síðasta %(weekday)s kl. %(time)s"
"%(month_name)s %(day)s","%(day)s. %(month_name)s"
"%(month_name)s %(day)s at %(time)s","%(day)s. %(month_name)s kl. %(time)s"
"%(month_name)s %(day)s, %(year)s","%(day)s. %(month_name)s %(year)s"
"%(month_name)s %(day)s, %(year)s at %(time)s","%(day)s. %(month_name)s %(year)s kl. %(time)s"
"January","janúar"
"February","febrúar"
"March","mars"
"April","apríl"
"May","maí"
"June","júní"
"July","júlí"
"August","ágúst"
"September","september"
"October","október"
"November","nóvember"
"December","desember"
"Monday","mánudag"
"Tuesday","þriðjudag"
"Wednesday","miðvikudag"
"Thursday","fimmtudag"
"Friday","föstudag"
"Saturday","laugardag"
"Sunday","sunnudag"
"Preferences","Stillingar"
"You are registered","Þú ert skráð(ur)"
"Standings","Staðan"
"Final standings","Lokastaðan"
"All submissions","Öll skil"
"My submissions","Mín skil"
"Submitted","Skilað"
"Programming language","Forritunarmál"
"Verdict","Niðurstaða"
"Messages","Skilaboð"
"Teams","Lið"
"Profile","Um mig"
"Inbox","Pósthólf"
"Create team","Nýtt lið"
"From","Frá"
"Subject","Titill"
"Received","Móttekið"
"Team name","Nafn liðs"
"create","skrá"
"Anything matching","Verður að passa við"
"Please provide your email","Vinsamlegast sláðu inn netfangið þitt"
"Optionally provide your full name","Sláðu inn fullt nafn ef þú vilt"
"Optionally provide an institute","Sláðu inn stofnun (skóla) ef þú vilt"
"Password should be at least 6 characters","Lykilorð þarf að vera 6 stafir að lengd (eða lengra)"
"Please confirm password","Vinsamlegast sláið inn lykilorð aftur"
"Field missing","Reitur vantar"
"Username too short","Notandanafn of stutt"
"Username too long","Notandanafn of langt"
"Invalid characters in username","Ólöglegir stafir í notandanafni"
"Username is taken","Notandanafn er tekið"
"Invalid email address","Netfang ólöglegt"
"Password too short","Lykilorð of stutt"
"Password too long","Lykilorð of langt"
"Passwords don't match","Lykilorð passa ekki saman"
"Submit a solution","Skila lausn"
